system:index,Name,istarget,s1_2018,.geo
00000000000000000675_0,os_216715,0,"[[0.23218101263046265], [0.3315582573413849], [0.2513468563556671], [0.45420894026756287], [0.49659818410873413], [0.3736346960067749], [0.3315291404724121], [0.46251633763313293], [0.5564954876899719], [0.3545495271682739], [0.29390430450439453], [0.5222465395927429], [0.20841100811958313], [0.8476918935775757], [0.43181324005126953], [0.8517355918884277]]",
00000000000000000676_0,os_216715,0,"[[0.18075811862945557], [0.2285221666097641], [0.316228449344635], [0.449344277381897], [0.24777595698833466], [0.32325536012649536], [0.31875112652778625], [0.19810357689857483], [0.1926053911447525], [0.27466028928756714], [0.3616679608821869], [0.17251835763454437], [0.6605070233345032], [0.9080846309661865], [0.5170674324035645], [0.7859008312225342]]",
00000000000000000677_0,os_216803,0,"[[0.18367266654968262], [0.30091121792793274], [0.3162950575351715], [0.27145203948020935], [0.18763750791549683], [0.3076198101043701], [0.359530508518219], [0.6814326643943787], [0.23413372039794922], [0.4061870574951172], [0.6098134517669678], [0.3158405125141144], [0.39385175704956055], [0.49569186568260193], [0.26915425062179565], [0.3317767381668091]]",
00000000000000000678_0,os_216803,0,"[[0.45443475246429443], [0.4020178020000458], [0.3049425780773163], [0.22864380478858948], [0.587809681892395], [0.33104145526885986], [0.17617204785346985], [0.7665390968322754], [0.3146810531616211], [0.5981377959251404], [0.7078941464424133], [0.4409361183643341], [0.41294625401496887], [0.27630576491355896], [0.3601347804069519], [0.3249860107898712]]",
00000000000000000679_0,os_216803,0,"[[0.30569902062416077], [0.25854235887527466], [0.2929857671260834], [0.22118930518627167], [0.39066874980926514], [0.3089117109775543], [0.2471398115158081], [0.7002832889556885], [0.2937474846839905], [0.46426689624786377], [0.3270038664340973], [0.10225535929203033], [0.3305128514766693], [0.25003013014793396], [0.32150402665138245], [0.24648118019104004]]",
0000000000000000067a_0,os_216639,0,"[[0.2876485288143158], [0.29958951473236084], [0.13276326656341553], [0.47512656450271606], [0.22853899002075195], [0.3317035436630249], [0.46930426359176636], [0.3810708224773407], [0.26712483167648315], [0.5355583429336548], [0.38561397790908813], [0.17117218673229218], [0.35221943259239197], [0.6595622301101685], [0.4378490447998047], [0.8893046975135803]]",
0000000000000000067b_0,os_216639,0,"[[0.3051219582557678], [0.2564002573490143], [0.2943158745765686], [0.5395587682723999], [0.4025663733482361], [0.4048398435115814], [0.5047011971473694], [0.5397108793258667], [0.5285404920578003], [0.444518506526947], [0.6612831354141235], [0.2727993428707123], [0.6287124156951904], [0.48778054118156433], [0.7963526844978333], [0.9095757603645325]]",
0000000000000000067c_0,os_216639,0,"[[0.6266582012176514], [0.2479383796453476], [0.44781336188316345], [0.516045331954956], [0.29975059628486633], [0.17003753781318665], [0.20707425475120544], [0.3394200801849365], [0.5085307955741882], [0.2979176640510559], [0.5425809621810913], [0.43257859349250793], [0.7319251894950867], [0.8052318096160889], [0.7658789157867432], [0.8816173076629639]]",
0000000000000000067d_0,os_216696,0,"[[0.24666890501976013], [0.326000839471817], [0.31504955887794495], [0.2695707380771637], [0.3396625816822052], [0.26991379261016846], [0.3887364864349365], [0.26463350653648376], [0.33102643489837646], [0.27241477370262146], [0.20436033606529236], [0.5840601921081543], [0.4578995406627655], [0.4869062006473541], [0.3075999319553375], [0.4569610357284546]]",
0000000000000000067e_0,os_216696,0,"[[0.6534128189086914], [0.40569761395454407], [0.32055410742759705], [0.31823042035102844], [0.46599242091178894], [0.27936550974845886], [0.2929076850414276], [0.4489399492740631], [0.5436649918556213], [0.6525716185569763], [0.5489869117736816], [0.32372796535491943], [0.23321445286273956], [0.8156118988990784], [0.6942546963691711], [0.8608056306838989]]",
0000000000000000067f_0,os_216696,0,"[[0.41258472204208374], [0.2687928080558777], [0.32055410742759705], [0.21808895468711853], [0.46599242091178894], [0.2441500425338745], [0.26418599486351013], [0.29182806611061096], [0.2953912317752838], [0.6525716185569763], [0.5489869117736816], [0.37713444232940674], [0.23321445286273956], [0.7437013983726501], [0.6942546963691711], [0.8608056306838989]]",
00000000000000000680_0,os_216490,0,"[[0.20469936728477478], [0.3887026906013489], [0.3512825667858124], [0.2861360013484955], [0.43711671233177185], [0.22983506321907043], [0.272964745759964], [0.304257869720459], [0.23983195424079895], [0.3097326159477234], [0.3644666075706482], [0.3361669182777405], [0.7206405401229858], [0.6408407092094421], [0.47098612785339355], [0.42282527685165405]]",
00000000000000000681_0,os_216490,0,"[[0.43754908442497253], [0.3424401879310608], [0.4544752240180969], [0.40899235010147095], [0.2962862253189087], [0.2895178198814392], [0.4026096761226654], [0.29199957847595215], [0.3337785601615906], [0.42698055505752563], [0.29740527272224426], [0.41313469409942627], [0.7689173817634583], [0.7558717131614685], [0.47359493374824524], [0.6694979667663574]]",
